,NAME,BLOOD STATUS,Species,GENDER,HOUSE,HAIR COLOR,BOGGART,PATRONUS,Nationality,ALIVE?
0,Harry Potter,Half-blood,Human,Male,Gryffindor,Jet-black,Dementor,Stag,English,Yes
2,Kingsley Shacklebolt,Pure-blood,Human,Male,,Bald,,Lynx,British or Irish,Yes
3,Aberforth Dumbledore,Half-blood,Human,Male,,Grey,,Goat,English,Yes
4,Remus Lupin,Half-blood,Werewolf,Male,Gryffindor,Light brown flecked with grey,Fullÿmoon,Wolf,British or Irish,No
5,Kreacher,,House-elf,Male,,White,,,British,Yes
6,Lord Voldemort,Half-blood,Human,Male,Slytherin,Bald,His ownÿcorpse,,English,No
8,Fenrir Greyback,,Werewolf,Male,,Grey,,,British,Unknown
10,Lucius Malfoy,Pure-blood,Human,Male,Slytherin,White-blond,Lord Voldemort,,British,Yes
11,Pius Thicknesse,Not Muggle-born,Human,Male,,Black and silver,,Non-corporeal,British,Unknown
12,Scabior,Not Muggle-born,Human,Male,Slytherin,,,,British or Irish,No
13,Colin Creeve,Muggle-born,Human,Male,Gryffindor,Mousy,Lord Voldemort,,British or Irish,No
14,George Weasley,Pure-blood,Human,Male,Gryffindor,Red,Lord Voldemort,Magpie,English,Yes
15,Fred Weasley,Pure-blood,Human,Male,Gryffindor,Red,Lord Voldemort,Magpie,English,No
17,Ronald Weasley,Pure-blood,Human,Male,Gryffindor,Red,Aragog,Jack Russell terrier,English,Yes
19,Neville Longbottom,Pure-blood,Human,Male,Gryffindor,Blond,Severus Snape,Non-corporeal,British,Yes
20,Horace Slughorn,Not Muggle-born,Human,Male,Slytherin,Bald,,Non-corporeal,British or Irish,Yes
21,Filius Flitwick,Half-breed,Human-Goblin,Male,Ravenclaw,Blond,Lord Voldemort,Non-corporeal,British or Irish,Yes
22,Vincent Crabbe,Pure-blood,Human,Male,Slytherin,Brown,Lord Voldemort,,British or Irish,No
23,Unknown Male Snatcher,Not Muggle-born,Human,Male,,Reddish,,,,No
24,Oliver Wood,Not Muggle-born,Human,Male,Gryffindor,Brown,Lord Voldemort,,British or Irish,Yes
25,Rubeus Hagrid,Half-breed,Human-Giant,Male,Gryffindor,Black,Lord Voldemort,,English,Yes
26,Severus Snape,Half-blood,Human,Male,Slytherin,Black,Lord Voldemort,Doe,English,
28,Unknown Giant,,Giant,Male,,,,,,No
